respondent_id,score,comment,date,customer_segment
R246,10,"Для колл-центра на 30 операторов — лучшее решение. Распределение звонков, очереди, мониторинг в реальном времени.",2026-01-23,enterprise
R247,6,"Сносно, но не идеально. Нет ощущения, что сервис развивается.",2026-01-24,smb
R248,7,"Автоматический расчёт KPI по настроенным формулам. Руководитель видит результаты в реальном времени.",2026-01-24,enterprise
R249,9,"Настроили чат-бот для первичной квалификации лидов. 60% вопросов бот закрывает сам, менеджерам приходят только горячие заявки.",2026-01-24,enterprise
R250,4,"Интерфейс загромождён. Новому сотруднику нужно 2 недели, чтобы перестать теряться.",2026-01-25,smb
R251,2,"В приложении нет возможности прикрепить файл к задаче. Нужно заходить через браузер. 2026 год на дворе.",2026-01-25,smb
R252,8,"Детальная воронка с причинами отказов: видим, почему сделки проваливаются. Закрыли 3 дыры в процессе.",2026-01-25,enterprise
R253,3,"Товар доставили через 2 недели. На сайте было 'доставка 1–2 дня'. Без комментариев.",2026-01-26,individual
R254,5,"Нормально. Работает. Претензий нет, но и восторга тоже.",2026-01-26,smb
R255,7,"Быстрый поиск по всей базе — вбиваешь номер телефона или фрагмент названия, находит моментально.",2026-01-26,smb
R256,10,"Мы консалтинговая компания — ведём 80 клиентов одновременно. Без CRM это было бы невозможно, с вашей — комфортно.",2026-01-27,enterprise
R257,6,"Отчёты выгружаются только в PDF. Хочу Excel, чтобы дальше работать с данными.",2026-01-27,enterprise
R258,9,"Виджет на сайт + автоответчик в нерабочее время = ни одна заявка не теряется. Проверили — конверсия выросла на 11%.",2026-01-27,smb
R259,4,"Обновления ломают кастомные интеграции. Каждый месяц — танцы с бубном.",2026-01-28,enterprise
R260,1,"Ваш сотрудник поддержки: 'Это не баг, это фича'. Я показываю скриншот, где данные дублируются. 'Так и задумано.'",2026-01-28,smb
R261,3,"Оформил возврат товара. Деньги обещали за 3 дня. Прошло 3 недели. Звоню — 'обрабатывается'.",2026-01-28,individual
R262,8,"Автоматическая постановка задач при смене статуса сделки. Никто не забывает отправить договор или выставить счёт.",2026-01-29,enterprise
R263,7,"Приятный дизайн, без перегруза. Для ежедневной работы — глаза не устают.",2026-01-29,smb
R264,5,"Ну такое.",2026-01-29,smb
R265,2,"Поддержка первой линии ничего не решает. Только собирает информацию и 'передаёт специалистам'. Специалисты молчат неделями.",2026-01-30,enterprise
R266,10,"Аналитический дашборд для директора: выручка, конверсия, средний чек, NPS — всё на одном экране. Обновляется в реальном времени.",2026-01-30,enterprise
R267,9,"Прошли от 'хаос в Excel' до 'прозрачная система продаж' за 2 месяца. Менеджеры перестали терять клиентов.",2026-01-30,smb
R268,6,"API работает, но документация описывает прошлую версию. Приходится экспериментировать.",2026-01-31,enterprise
R269,4,"Мобильное приложение: вход по паролю (Face ID нет), долгая загрузка, обрезанный функционал.",2026-01-31,smb
R270,3,"Заказ отменили в одностороннем порядке без объяснения причин. Деньги вернули, но товар нужен сегодня.",2026-01-31,individual
R271,8,"Интеграция с Битрикс24 работает. Данные синхронизируются в обе стороны без дублей.",2026-02-01,enterprise
R272,7,"Быстрый старт: зарегистрировались, импортировали контакты, начали работать — всё за 2 часа.",2026-02-01,smb
R273,1,"5 обращений в поддержку за январь. Среднее время ответа — 4 дня. Среднее время решения — 'мы работаем над этим'.",2026-02-01,enterprise
R274,5,"Обычная CRM.",2026-02-02,smb
R275,9,"Для сетевого ресторана (12 точек) — отлично. Каждая точка в системе, консолидированные отчёты, единая база гостей.",2026-02-02,enterprise
R276,2,"Курьерская служба: 3 попытки доставки за 2 недели, и все 3 раза 'получатель отсутствует'. Я работаю из дома.",2026-02-02,individual
R277,10,"Автоматизировали полный цикл: заявка → квалификация → встреча → КП → договор → оплата → акт. Руками — только переговоры.",2026-02-03,enterprise
R278,6,"Сервис рабочий, но скучный. Нет ощущения, что он помогает работать лучше. Просто фиксирует данные.",2026-02-03,smb
R279,4,"Удалить аккаунт — квест. Кнопки нет, нужно писать в поддержку, ждать 14 дней 'рассмотрения'.",2026-02-03,individual
R280,8,"Встроенные формулы для расчёта стоимости проекта: вводишь параметры, получаешь смету. Точность — 90%.",2026-02-04,enterprise
R281,3,"Доставка продуктов: половина товаров в заказе просрочена. Срок годности истекает завтра. Называется 'свежие продукты'.",2026-02-04,individual
R282,7,"Для digital-агентства — подходит. Проекты, задачи, клиенты — всё связано.",2026-02-04,smb
R283,9,"Настроили A/B тестирование email-рассылок: тема, время отправки, контент. Open rate вырос с 18% до 29%.",2026-02-05,enterprise
R284,5,"Без комментариев.",2026-02-05,smb
R285,1,"Потерял доступ к аккаунту. Восстановление через поддержку — 'отправьте скан паспорта'. Для CRM. Скан паспорта.",2026-02-05,smb
R286,6,"Базово — нормально. Расширенные функции — сыро.",2026-02-06,smb
R287,4,"Автообновление приложения сбросило все мои настройки интерфейса. Провёл час, возвращая всё как было.",2026-02-06,smb
R288,10,"Три года пользуемся. Стабильность, скорость, адекватная поддержка (когда обращаемся — решают за день). Рекомендуем коллегам.",2026-02-06,enterprise
R289,8,"Конструктор форм: собираешь форму для сайта без программиста, данные летят прямо в CRM.",2026-02-07,smb
R290,3,"Позвонили из вашей компании с 'предложением обновить тариф'. По сути — продают то, что раньше было бесплатным.",2026-02-07,smb
R291,7,"Поддержка чата на сайте — видим, кто из посетителей сейчас онлайн, можем написать первыми.",2026-02-07,smb
R292,9,"Для юридической фирмы: карточки дел, сроки давности, напоминания о заседаниях. Коллеги-юристы тоже внедрили после нашей рекомендации.",2026-02-08,enterprise
R293,2,"Пытался подключить интеграцию по документации. Документация врёт. Потерял 2 дня.",2026-02-08,smb
R294,5,"Работает, и ладно.",2026-02-08,smb
R295,4,"Три уровня поддержки, и до третьего не добраться. Первый не решает, второй 'передаёт', третий — миф.",2026-02-09,enterprise
R296,8,"Система уведомлений гибкая: по email, SMS, push, Telegram. Выбираешь, что и когда получать.",2026-02-09,enterprise
R297,10,"За 6 месяцев: конверсия +22%, средний чек +15%, время обработки заявки −40%. Цифры говорят сами.",2026-02-09,enterprise
R298,6,"Для стартапа — дороговато. Есть бесплатные альтернативы с 80% того же функционала.",2026-02-09,smb
R299,3,"Обещали бесплатную доставку от 5000. В корзине — 5200. При оформлении — 'бесплатная доставка недоступна в вашем регионе'. Мелким шрифтом.",2026-02-09,individual
R300,7,"Если не считать пару шероховатостей с мобильной версией — пользоваться удобно. Команда привыкла быстро.",2026-02-09,smb
